id,track_id,created_at,thread_id,username,body
350134049,318204134,2017/06/09 14:27:05 +0000,2785208,Brett Gleason,Bolton = fear monger/hater
350133653,318204134,2017/06/09 14:24:17 +0000,2382548,Brett Gleason,"The caves like condo's...lolol... belly laugh... I been there, dirt holes.no furniture...lolol...All the afgans herion addicts hide n get ripped in many of them... We walked in on a few that were so high they didn't realize who we were... crazy shit."
350133031,318204134,2017/06/09 14:19:51 +0000,2148796,Brett Gleason,"Pentagon and CIA and Deep state agencies run the wars etc. ""my opinion"" and trillions of $ missing says so. You know the fear mongers Rob pushing the narrative."
350132437,318204134,2017/06/09 14:15:20 +0000,1973681,Brett Gleason,I think it's partly a deversion for the GOP to pass their 3am healthcare bills etc. more then its about russia... Russia is a diversion... A damn good one too.
350132157,318204134,2017/06/09 14:13:02 +0000,1631200,Brett Gleason,"Trump, the professional con man who has been screwing bankers and the public over for so long he calls breaking federal , state and local laws business. Why shouldn't he, he gets away with it. Worst part is he rubs it in the peoples face to whom he's fucked over... Fear monger for the war mongers... aka puppet of sorts.."
350131236,318204134,2017/06/09 14:06:01 +0000,1041632,Brett Gleason,"Excuse my spelling, or auto correct spelling of the guy you were speaking of, I could not spell his name... Ser-a-vich... lol"
350130792,318204134,2017/06/09 14:02:45 +0000,1041632,Brett Gleason,"Dernavich needs to watch a very heavy agenda 1,2 and 3 to get a flavor of investigative journalism or at the very least interview Robbie.... ""my opinion"""
344032417,318204134,2017/05/02 19:40:57 +0000,2143871,Len,"A good backgrounder on North Korea - “If the international community really wants to resolve the tensions on the Korean Peninsula and give the North Korean people a chance to rejoin the community of nations, a peace treaty that gives North Korea the assurances it needs for its survival is the first, not the last step.”  https://consortiumnews.com/2017/03/05/a-path-forward-on-north-korea/"
343987708,318204134,2017/05/02 14:43:52 +0000,1514613,Rafael Stephen,"No such things as ""rebels"" in Syria. The analysis on the Trump circle is on point"
343809642,318204134,2017/05/01 10:09:04 +0000,1806111,Media Roots,"@christian-dowdy-995010411: as soon as the Ferguson situation happened, Alex Jones stopped warning us about the dangers of militarized swat police and instead started warning us about 'black on black crime' 'soros controlled rioters' etc. -R"
343613410,318204134,2017/04/29 20:45:05 +0000,1806111,christian dowdy,when did Alex Jones attack black people?
342666019,318204134,2017/04/23 23:10:23 +0000,1683,Media Roots,"@david-cole-85285932: lol, as the commenter below said. you probably don't have the mental stamina to even comprehend anything we're saying anyways. thanks for trying tho - R"
342649728,318204134,2017/04/23 20:39:26 +0000,1683,Mike Madore,"@david-cole-85285932: Aww poor baby. Im sure they really give a fuck what a moron with a ""defund PP"" profile pic has to say."
342046840,318204134,2017/04/20 02:38:37 +0000,2153428,John,@sean-gelles: comcast is subsidiry of GE
